2025-08-11 16:27:57:288 | IntuneMDM-Daemon | I | 89007856 | FullSyncWorkflow | Starting sidecar gateway service checkin
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007860 | AppDetector | Detecting app with specific bundle ID. PolicyID: e33551de-0398-4441-98b4-d8b6de28a4cd, AppName: CreativeCloud 6.7.0.278 arm64, BundleID: com.adobe.acc.AdobeCreativeCloud, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007860 | AppDetector | Detecting app with specific bundle ID. PolicyID: b69eea78-ae15-400c-ba0b-5fe91e1f96db, AppName: Cyberduck 9.1.6, BundleID: ch.sudo.cyberduck, AppType: DMG, IgnoreVersion: false
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007860 | AppDetector | Detecting app with specific bundle ID. PolicyID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, AppName: coconutBattery 4.0.4, BundleID: com.coconut-flavour.coconutBattery, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007861 | AppDetector | Detecting app with specific bundle ID. PolicyID: 2cab453d-9c86-4834-ba51-c5b96886e0e7, AppName: Spotify 1.2.65.255, BundleID: com.spotify.client, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:273 | IntuneMDM-Daemon | I | 89007856 | ScriptOrchestrationLogger | Running system script. Domain: apps, User: root, PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e
2025-08-11 16:27:58:273 | IntuneMDM-Daemon | I | 89007865 | SpotlightSearcher | Found app with NSWorkspace PolicyID: 4a4b431d-4cd1-4965-8b18-2ca38c8ab119, AppName: Dialog 2.5.6, AppType: PKG, BundleID: au.csiro.dialog
2025-08-11 16:27:58:273 | IntuneMDM-Daemon | I | 89007865 | AppDetector | Found bundle path URL for PKG app. PolicyID: 4a4b431d-4cd1-4965-8b18-2ca38c8ab119, AppName: Dialog 2.5.6, BundleID: au.csiro.dialog, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:273 | IntuneMDM-Daemon | I | 89007862 | SpotlightSearcher | Found app with NSWorkspace PolicyID: 80f4c7e2-15c1-46d9-900a-574332849086, AppName: LaunchControl 2.8.4, AppType: PKG, BundleID: com.soma-zone.LaunchControl
2025-08-11 16:27:58:273 | IntuneMDM-Daemon | I | 89007862 | AppDetector | Found bundle path URL for PKG app. PolicyID: 80f4c7e2-15c1-46d9-900a-574332849086, AppName: LaunchControl 2.8.4, BundleID: com.soma-zone.LaunchControl, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:274 | IntuneMDM-Daemon | I | 89007890 | SpotlightSearcher | Found app with NSWorkspace PolicyID: cd86907b-3b40-4472-9f5f-e673a832b77d, AppName: Amazon Chime 5.23.22318, AppType: DMG, BundleID: com.amazon.Amazon-Chime
2025-08-11 16:27:58:274 | IntuneMDM-Daemon | I | 89007890 | AppDetector | Found bundle path URL for DMG app. PolicyID: cd86907b-3b40-4472-9f5f-e673a832b77d, AppName: Amazon Chime 5.23.22318, BundleID: com.amazon.Amazon-Chime, AppType: DMG, IgnoreVersion: false
2025-08-11 16:27:58:274 | IntuneMDM-Daemon | I | 89007865 | AppDetector | App with specific bundle ID is installed on the device. PolicyID: 4a4b431d-4cd1-4965-8b18-2ca38c8ab119, AppName: Dialog 2.5.6, BundleID: au.csiro.dialog, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:274 | IntuneMDM-Daemon | I | 89007865 | AppInstallManager | App is not required to be installed PolicyID: 4a4b431d-4cd1-4965-8b18-2ca38c8ab119, AppName: Dialog 2.5.6, AppType: PKG, BundleID: au.csiro.dialog
2025-08-11 16:27:58:275 | IntuneMDM-Daemon | I | 89007890 | AppDetector | App with specific bundle ID is installed on the device. PolicyID: cd86907b-3b40-4472-9f5f-e673a832b77d, AppName: Amazon Chime 5.23.22318, BundleID: com.amazon.Amazon-Chime, AppType: DMG, IgnoreVersion: false
2025-08-11 16:27:58:275 | IntuneMDM-Daemon | I | 89007890 | AppInstallManager | App is not required to be installed PolicyID: cd86907b-3b40-4472-9f5f-e673a832b77d, AppName: Amazon Chime 5.23.22318, AppType: DMG, BundleID: com.amazon.Amazon-Chime
2025-08-11 16:27:58:276 | IntuneMDM-Daemon | I | 89007862 | AppDetector | App with specific bundle ID is installed on the device. PolicyID: 80f4c7e2-15c1-46d9-900a-574332849086, AppName: LaunchControl 2.8.4, BundleID: com.soma-zone.LaunchControl, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:276 | IntuneMDM-Daemon | I | 89007862 | AppInstallManager | App is not required to be installed PolicyID: 80f4c7e2-15c1-46d9-900a-574332849086, AppName: LaunchControl 2.8.4, AppType: PKG, BundleID: com.soma-zone.LaunchControl
2025-08-11 16:27:58:280 | IntuneMDM-Daemon | I | 89007866 | SpotlightSearcher | Found app with NSWorkspace PolicyID: a6a07cfd-1f03-4748-b57a-4da6832d6a35, AppName: Spotify 1.2.69.449, AppType: PKG, BundleID: com.spotify.client
2025-08-11 16:27:58:280 | IntuneMDM-Daemon | I | 89007866 | AppDetector | Found bundle path URL for PKG app. PolicyID: a6a07cfd-1f03-4748-b57a-4da6832d6a35, AppName: Spotify 1.2.69.449, BundleID: com.spotify.client, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:281 | IntuneMDM-Daemon | I | 89007856 | SpotlightSearcher | Found app with NSWorkspace PolicyID: f2567800-c0a3-4742-ab42-567dc1450776, AppName: PlistEdit Pro 1.9.7, AppType: DMG, BundleID: com.fatcatsoftware.pledpro
2025-08-11 16:27:58:281 | IntuneMDM-Daemon | I | 89007856 | AppDetector | Found bundle path URL for DMG app. PolicyID: f2567800-c0a3-4742-ab42-567dc1450776, AppName: PlistEdit Pro 1.9.7, BundleID: com.fatcatsoftware.pledpro, AppType: DMG, IgnoreVersion: false
2025-08-11 16:27:58:281 | IntuneMDM-Daemon | I | 89007863 | SpotlightSearcher | Found app with NSWorkspace PolicyID: e33551de-0398-4441-98b4-d8b6de28a4cd, AppName: CreativeCloud 6.7.0.278 arm64, AppType: PKG, BundleID: com.adobe.acc.AdobeCreativeCloud
2025-08-11 16:27:58:281 | IntuneMDM-Daemon | I | 89007863 | AppDetector | Found bundle path URL for PKG app. PolicyID: e33551de-0398-4441-98b4-d8b6de28a4cd, AppName: CreativeCloud 6.7.0.278 arm64, BundleID: com.adobe.acc.AdobeCreativeCloud, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:281 | IntuneMDM-Daemon | I | 89007862 | SpotlightSearcher | Found app with NSWorkspace PolicyID: b69eea78-ae15-400c-ba0b-5fe91e1f96db, AppName: Cyberduck 9.1.6, AppType: DMG, BundleID: ch.sudo.cyberduck
2025-08-11 16:27:58:281 | IntuneMDM-Daemon | I | 89007862 | AppDetector | Found bundle path URL for DMG app. PolicyID: b69eea78-ae15-400c-ba0b-5fe91e1f96db, AppName: Cyberduck 9.1.6, BundleID: ch.sudo.cyberduck, AppType: DMG, IgnoreVersion: false
2025-08-11 16:27:58:281 | IntuneMDM-Daemon | I | 89007861 | SpotlightSearcher | Found app with NSWorkspace PolicyID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, AppName: coconutBattery 4.0.4, AppType: PKG, BundleID: com.coconut-flavour.coconutBattery
2025-08-11 16:27:58:281 | IntuneMDM-Daemon | I | 89007861 | AppDetector | Found bundle path URL for PKG app. PolicyID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, AppName: coconutBattery 4.0.4, BundleID: com.coconut-flavour.coconutBattery, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:282 | IntuneMDM-Daemon | I | 89007863 | AppDetector | App with specific bundle ID is installed on the device. PolicyID: e33551de-0398-4441-98b4-d8b6de28a4cd, AppName: CreativeCloud 6.7.0.278 arm64, BundleID: com.adobe.acc.AdobeCreativeCloud, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:282 | IntuneMDM-Daemon | I | 89007863 | AppInstallManager | Available app detect only, skipping installation PolicyID: e33551de-0398-4441-98b4-d8b6de28a4cd, AppName: CreativeCloud 6.7.0.278 arm64, AppType: PKG, BundleID: com.adobe.acc.AdobeCreativeCloud
2025-08-11 16:27:58:282 | IntuneMDM-Daemon | I | 89007863 | AppInstallManager | App is not required to be installed PolicyID: e33551de-0398-4441-98b4-d8b6de28a4cd, AppName: CreativeCloud 6.7.0.278 arm64, AppType: PKG, BundleID: com.adobe.acc.AdobeCreativeCloud
2025-08-11 16:27:58:282 | IntuneMDM-Daemon | I | 89007866 | AppDetector | App with specific bundle ID is installed on the device. PolicyID: a6a07cfd-1f03-4748-b57a-4da6832d6a35, AppName: Spotify 1.2.69.449, BundleID: com.spotify.client, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:282 | IntuneMDM-Daemon | I | 89007866 | AppInstallManager | App is not required to be installed PolicyID: a6a07cfd-1f03-4748-b57a-4da6832d6a35, AppName: Spotify 1.2.69.449, AppType: PKG, BundleID: com.spotify.client
2025-08-11 16:27:58:282 | IntuneMDM-Daemon | I | 89007861 | AppDetector | App with specific bundle ID is installed on the device. PolicyID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, AppName: coconutBattery 4.0.4, BundleID: com.coconut-flavour.coconutBattery, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:282 | IntuneMDM-Daemon | I | 89007861 | AppInstallManager | Available app detect only, skipping installation PolicyID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, AppName: coconutBattery 4.0.4, AppType: PKG, BundleID: com.coconut-flavour.coconutBattery
2025-08-11 16:27:58:282 | IntuneMDM-Daemon | I | 89007861 | AppInstallManager | App is not required to be installed PolicyID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, AppName: coconutBattery 4.0.4, AppType: PKG, BundleID: com.coconut-flavour.coconutBattery
2025-08-11 16:27:58:283 | IntuneMDM-Daemon | I | 89007856 | AppDetector | App with specific bundle ID is installed on the device. PolicyID: f2567800-c0a3-4742-ab42-567dc1450776, AppName: PlistEdit Pro 1.9.7, BundleID: com.fatcatsoftware.pledpro, AppType: DMG, IgnoreVersion: false
2025-08-11 16:27:58:283 | IntuneMDM-Daemon | I | 89007856 | AppInstallManager | App is not required to be installed PolicyID: f2567800-c0a3-4742-ab42-567dc1450776, AppName: PlistEdit Pro 1.9.7, AppType: DMG, BundleID: com.fatcatsoftware.pledpro
2025-08-11 16:27:58:284 | IntuneMDM-Daemon | I | 89007860 | SpotlightSearcher | Found app with NSWorkspace PolicyID: 2cab453d-9c86-4834-ba51-c5b96886e0e7, AppName: Spotify 1.2.65.255, AppType: PKG, BundleID: com.spotify.client
2025-08-11 16:27:58:284 | IntuneMDM-Daemon | I | 89007860 | AppDetector | Found bundle path URL for PKG app. PolicyID: 2cab453d-9c86-4834-ba51-c5b96886e0e7, AppName: Spotify 1.2.65.255, BundleID: com.spotify.client, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:284 | IntuneMDM-Daemon | I | 89007860 | AppDetector | App with specific bundle ID is installed on the device. PolicyID: 2cab453d-9c86-4834-ba51-c5b96886e0e7, AppName: Spotify 1.2.65.255, BundleID: com.spotify.client, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:284 | IntuneMDM-Daemon | I | 89007865 | SpotlightSearcher | Found app with NSWorkspace PolicyID: 4a4b431d-4cd1-4965-8b18-2ca38c8ab119, AppName: Dialog 2.5.6, AppType: PKG, BundleID: au.csiro.dialog
2025-08-11 16:27:58:284 | IntuneMDM-Daemon | I | 89007860 | AppInstallManager | App is not required to be installed PolicyID: 2cab453d-9c86-4834-ba51-c5b96886e0e7, AppName: Spotify 1.2.65.255, AppType: PKG, BundleID: com.spotify.client
2025-08-11 16:27:58:284 | IntuneMDM-Daemon | I | 89007860 | SpotlightSearcher | Found app with NSWorkspace PolicyID: cd86907b-3b40-4472-9f5f-e673a832b77d, AppName: Amazon Chime 5.23.22318, AppType: DMG, BundleID: com.amazon.Amazon-Chime
2025-08-11 16:27:58:284 | IntuneMDM-Daemon | I | 89007861 | SpotlightSearcher | Found app with NSWorkspace PolicyID: 80f4c7e2-15c1-46d9-900a-574332849086, AppName: LaunchControl 2.8.4, AppType: PKG, BundleID: com.soma-zone.LaunchControl
2025-08-11 16:27:58:284 | IntuneMDM-Daemon | I | 89007856 | SpotlightSearcher | Found app with NSWorkspace PolicyID: e33551de-0398-4441-98b4-d8b6de28a4cd, AppName: CreativeCloud 6.7.0.278 arm64, AppType: PKG, BundleID: com.adobe.acc.AdobeCreativeCloud
2025-08-11 16:27:58:285 | IntuneMDM-Daemon | I | 89007862 | AppDetector | App with specific bundle ID is installed on the device. PolicyID: b69eea78-ae15-400c-ba0b-5fe91e1f96db, AppName: Cyberduck 9.1.6, BundleID: ch.sudo.cyberduck, AppType: DMG, IgnoreVersion: false
2025-08-11 16:27:58:285 | IntuneMDM-Daemon | I | 89007865 | AppPolicyHandler | Handling app policy finished. PolicyID: 4a4b431d-4cd1-4965-8b18-2ca38c8ab119, Primary BundleID: au.csiro.dialog, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:285 | IntuneMDM-Daemon | I | 89007865 | ExecutionClock | Policy measurement. ID: 4a4b431d-4cd1-4965-8b18-2ca38c8ab119, Context: macAppInstall, Duration: 0.014280915260314941, Status: success
2025-08-11 16:27:58:285 | IntuneMDM-Daemon | I | 89007856 | AppPolicyHandler | Handling app policy finished. PolicyID: cd86907b-3b40-4472-9f5f-e673a832b77d, Primary BundleID: com.amazon.Amazon-Chime, IgnoreVersion: false, Count: 1, AppType: DMG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:285 | IntuneMDM-Daemon | I | 89007856 | ExecutionClock | Policy measurement. ID: cd86907b-3b40-4472-9f5f-e673a832b77d, Context: macAppInstall, Duration: 0.01447904109954834, Status: success
2025-08-11 16:27:58:285 | IntuneMDM-Daemon | I | 89007865 | AppPolicyHandler | Handling app policy finished. PolicyID: 80f4c7e2-15c1-46d9-900a-574332849086, Primary BundleID: com.soma-zone.LaunchControl, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:285 | IntuneMDM-Daemon | I | 89007865 | ExecutionClock | Policy measurement. ID: 80f4c7e2-15c1-46d9-900a-574332849086, Context: macAppInstall, Duration: 0.014636993408203125, Status: success
2025-08-11 16:27:58:285 | IntuneMDM-Daemon | I | 89007856 | AppInstallManager | Available app detect only, skipping installation PolicyID: b69eea78-ae15-400c-ba0b-5fe91e1f96db, AppName: Cyberduck 9.1.6, AppType: DMG, BundleID: ch.sudo.cyberduck
2025-08-11 16:27:58:285 | IntuneMDM-Daemon | I | 89007862 | AppPolicyHandler | Handling app policy finished. PolicyID: e33551de-0398-4441-98b4-d8b6de28a4cd, Primary BundleID: com.adobe.acc.AdobeCreativeCloud, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: Available
2025-08-11 16:27:58:285 | IntuneMDM-Daemon | I | 89007856 | AppInstallManager | App is not required to be installed PolicyID: b69eea78-ae15-400c-ba0b-5fe91e1f96db, AppName: Cyberduck 9.1.6, AppType: DMG, BundleID: ch.sudo.cyberduck
2025-08-11 16:27:58:285 | IntuneMDM-Daemon | I | 89007862 | ExecutionClock | Policy measurement. ID: e33551de-0398-4441-98b4-d8b6de28a4cd, Context: macAppInstall, Duration: 0.014816999435424805, Status: success
2025-08-11 16:27:58:287 | IntuneMDM-Daemon | I | 89007861 | SpotlightSearcher | Found app with NSWorkspace PolicyID: a6a07cfd-1f03-4748-b57a-4da6832d6a35, AppName: Spotify 1.2.69.449, AppType: PKG, BundleID: com.spotify.client
2025-08-11 16:27:58:287 | IntuneMDM-Daemon | I | 89007862 | SpotlightSearcher | Found app with NSWorkspace PolicyID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, AppName: coconutBattery 4.0.4, AppType: PKG, BundleID: com.coconut-flavour.coconutBattery
2025-08-11 16:27:58:287 | IntuneMDM-Daemon | I | 89007862 | SpotlightSearcher | Found app with NSWorkspace PolicyID: f2567800-c0a3-4742-ab42-567dc1450776, AppName: PlistEdit Pro 1.9.7, AppType: DMG, BundleID: com.fatcatsoftware.pledpro
2025-08-11 16:27:58:287 | IntuneMDM-Daemon | I | 89007861 | AppPolicyHandler | Handling app policy finished. PolicyID: a6a07cfd-1f03-4748-b57a-4da6832d6a35, Primary BundleID: com.spotify.client, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: RequiredInstall
